lambda_bc,adam_lr,pde,bc,pde+bc,weighted,elapsed_s
1.0,0.001,0.3054836690425873,0.6967320442199707,1.002215713262558,1.002215713262558,27.4
1.0,0.003,0.0389988049864769,0.5214666128158569,0.5604654178023338,0.5604654178023338,27.5
1.0,0.005,0.02780846878886223,0.5080521702766418,0.5358606390655041,0.5358606390655041,27.4
1.0,0.01,0.02302968129515648,0.49635833501815796,0.5193880163133144,0.5193880163133144,27.3
2.0,0.001,0.3299688696861267,0.5774744749069214,0.9074433445930481,1.4849178194999695,27.5
2.0,0.003,0.05647052079439163,0.5014593005180359,0.5579298213124275,1.0593891218304634,27.4
2.0,0.005,0.05702992528676987,0.4769098460674286,0.5339397713541985,1.010849617421627,27.1
2.0,0.01,0.07036908715963364,0.45547813177108765,0.5258472189307213,0.9813253507018089,27.0
3.0,0.001,0.3139098286628723,0.5368241667747498,0.8507339954376221,1.9243823289871216,27.2
3.0,0.003,0.08622616529464722,0.48161911964416504,0.5678452849388123,1.5310835242271423,27.2
3.0,0.005,0.10534695535898209,0.4475708603858948,0.5529178157448769,1.4480595365166664,27.2
3.0,0.01,0.1299610286951065,0.42297792434692383,0.5529389530420303,1.398894801735878,27.2
5.0,0.001,0.29788148403167725,0.5072000026702881,0.8050814867019653,2.8338814973831177,27.1
5.0,0.003,0.1724368929862976,0.44207054376602173,0.6145074367523193,2.3827896118164062,27.1
5.0,0.005,0.24242551624774933,0.39659297466278076,0.6390184909105301,2.225390389561653,27.1
5.0,0.01,0.24977543950080872,0.3871907591819763,0.636966198682785,2.1857292354106903,27.2
